experiment_id,network,embedding_model,category,prompt_or_pair,ftle,r_squared,num_pairs,num_timesteps
019d2ec7-2b02-7658-a8fe-4af8be31d75e,GLMImage|Moondream,Qwen3Embed,paraphrase,a penguin sitting alongside a campfire || a penguin sitting by a fire,0.0017070360781530772,0.32830387887705015,64,100
019d2ec7-2b02-7658-a8fe-4af8be31d75e,GLMImage|Moondream,Qwen3Embed,paraphrase,a penguin sitting alongside a campfire || a penguin sitting next to a campfire,0.003921154864450071,0.6162875702163826,64,100
019d2ec7-2b02-7658-a8fe-4af8be31d75e,GLMImage|Moondream,Qwen3Embed,paraphrase,a penguin sitting beside a campfire || a penguin sitting by a campfire,0.0024008373414685313,0.39521802269459316,64,100
019d2ec7-2b02-7658-a8fe-4af8be31d75e,GLMImage|Moondream,Qwen3Embed,paraphrase,a penguin sitting beside a campfire || a penguin sitting by a fire,0.0017814737526186306,0.3651885461559906,64,100
019d2ec7-2b02-7658-a8fe-4af8be31d75e,GLMImage|Moondream,Qwen3Embed,paraphrase,a penguin sitting beside a campfire || a penguin sitting next to a campfire,0.00414221709775943,0.6288275223301405,64,100
019d2ec7-2b02-7658-a8fe-4af8be31d75e,GLMImage|Moondream,Qwen3Embed,paraphrase,a penguin sitting by a campfire || a penguin sitting by a fire,0.0014077078662265597,0.25744126264628087,64,100
019d2ec7-2b02-7658-a8fe-4af8be31d75e,GLMImage|Moondream,Qwen3Embed,paraphrase,a penguin sitting by a campfire || a penguin sitting next to a campfire,0.002902381755816007,0.5211302616555594,64,100
019d2ec7-2b02-7658-a8fe-4af8be31d75e,GLMImage|Moondream,Qwen3Embed,paraphrase,a penguin sitting by a fire || a penguin sitting next to a campfire,0.00253496437316068,0.4893397629392534,64,100
019d2ec7-2b02-7658-a8fe-4af8be31d75e,GLMImage|Pixtral,Qwen3Embed,paraphrase,a penguin sitting alongside a campfire || a penguin sitting beside a campfire,0.004115228705648448,0.8634532719543677,64,100
019d2ec7-2b02-7658-a8fe-4af8be31d75e,GLMImage|Pixtral,Qwen3Embed,paraphrase,a penguin sitting alongside a campfire || a penguin sitting by a campfire,0.0034488228312235776,0.7995776092990137,64,100
019d2ec7-2b02-7658-a8fe-4af8be31d75e,GLMImage|Pixtral,Qwen3Embed,paraphrase,a penguin sitting alongside a campfire || a penguin sitting by a fire,0.0011276933820339044,0.5190117384604284,64,100
019d2ec7-2b02-7658-a8fe-4af8be31d75e,GLMImage|Pixtral,Qwen3Embed,paraphrase,a penguin sitting alongside a campfire || a penguin sitting next to a campfire,0.0033904776601951566,0.6766013670895503,64,100
019d2ec7-2b02-7658-a8fe-4af8be31d75e,GLMImage|Pixtral,Qwen3Embed,paraphrase,a penguin sitting beside a campfire || a penguin sitting by a campfire,0.004290599212647996,0.7387194838975975,64,100
019d2ec7-2b02-7658-a8fe-4af8be31d75e,GLMImage|Pixtral,Qwen3Embed,paraphrase,a penguin sitting beside a campfire || a penguin sitting by a fire,0.0014761581736950765,0.5069662954853595,64,100
019d2ec7-2b02-7658-a8fe-4af8be31d75e,GLMImage|Pixtral,Qwen3Embed,paraphrase,a penguin sitting beside a campfire || a penguin sitting next to a campfire,0.0036511164859358747,0.566325728232068,64,100
019d2ec7-2b02-7658-a8fe-4af8be31d75e,GLMImage|Pixtral,Qwen3Embed,paraphrase,a penguin sitting by a campfire || a penguin sitting by a fire,0.0018350992928345318,0.6035964421545001,64,100
019d2ec7-2b02-7658-a8fe-4af8be31d75e,GLMImage|Pixtral,Qwen3Embed,paraphrase,a penguin sitting by a campfire || a penguin sitting next to a campfire,0.0037609110958753103,0.5994072104646849,64,100
019d2ec7-2b02-7658-a8fe-4af8be31d75e,GLMImage|Pixtral,Qwen3Embed,paraphrase,a penguin sitting by a fire || a penguin sitting next to a campfire,0.0017857852852121144,0.5038544277230452,64,100
019d2ec7-2b02-7658-a8fe-4af8be31d75e,GLMImage|Qwen25VL,Qwen3Embed,paraphrase,a penguin sitting alongside a campfire || a penguin sitting beside a campfire,0.004203883161422956,0.733949468813687,64,100
019d2ec7-2b02-7658-a8fe-4af8be31d75e,GLMImage|Qwen25VL,Qwen3Embed,paraphrase,a penguin sitting alongside a campfire || a penguin sitting by a campfire,0.0032324567076520783,0.5627973249984013,64,100
019d2ec7-2b02-7658-a8fe-4af8be31d75e,GLMImage|Qwen25VL,Qwen3Embed,paraphrase,a penguin sitting alongside a campfire || a penguin sitting by a fire,0.0016743394620579446,0.47102452403248496,64,100
019d2ec7-2b02-7658-a8fe-4af8be31d75e,GLMImage|Qwen25VL,Qwen3Embed,paraphrase,a penguin sitting alongside a campfire || a penguin sitting next to a campfire,0.002529521344792241,0.45503490114536616,64,100
019d2ec7-2b02-7658-a8fe-4af8be31d75e,GLMImage|Qwen25VL,Qwen3Embed,paraphrase,a penguin sitting beside a campfire || a penguin sitting by a campfire,0.003718115426476817,0.6110944881841323,64,100
019d2ec7-2b02-7658-a8fe-4af8be31d75e,GLMImage|Qwen25VL,Qwen3Embed,paraphrase,a penguin sitting beside a campfire || a penguin sitting by a fire,0.0015936889080624308,0.4465101030096108,64,100
019d2ec7-2b02-7658-a8fe-4af8be31d75e,GLMImage|Qwen25VL,Qwen3Embed,paraphrase,a penguin sitting beside a campfire || a penguin sitting next to a campfire,0.0030777792545388515,0.5815416761172618,64,100
019d2ec7-2b02-7658-a8fe-4af8be31d75e,GLMImage|Qwen25VL,Qwen3Embed,paraphrase,a penguin sitting by a campfire || a penguin sitting by a fire,0.0016861616808277293,0.539498058079444,64,100
019d2ec7-2b02-7658-a8fe-4af8be31d75e,GLMImage|Qwen25VL,Qwen3Embed,paraphrase,a penguin sitting by a campfire || a penguin sitting next to a campfire,0.002530641867280453,0.4278390635455682,64,100
019d2ec7-2b02-7658-a8fe-4af8be31d75e,GLMImage|Qwen25VL,Qwen3Embed,paraphrase,a penguin sitting by a fire || a penguin sitting next to a campfire,0.0011083189462499565,0.2851602520568163,64,100
019d2ec7-2b02-7658-a8fe-4af8be31d75e,SD35Medium|Moondream,Qwen3Embed,paraphrase,a penguin sitting alongside a campfire || a penguin sitting beside a campfire,-8.323727508694058e-4,0.1181929724014823,64,100
019d2ec7-2b02-7658-a8fe-4af8be31d75e,SD35Medium|Moondream,Qwen3Embed,paraphrase,a penguin sitting alongside a campfire || a penguin sitting by a campfire,-4.4446749689520644e-4,0.048334363910638056,64,100
019d2ec7-2b02-7658-a8fe-4af8be31d75e,SD35Medium|Moondream,Qwen3Embed,paraphrase,a penguin sitting alongside a campfire || a penguin sitting by a fire,-5.291454768170643e-4,0.08237337346032092,64,100
